,gameRank,playerKill,monsterKill,characterLevel,bestWeaponLevel,damageToPlayer,totalTime,userNum,gameId
464,7,0,6,11,7,3234,457,776723,16172718
465,11,0,10,11,7,1316,364,776723,16172593
466,8,0,13,13,8,2174,656,776723,16172403
467,3,1,28,17,14,11002,1019,776723,16172155
468,13,0,8,9,5,360,303,776723,16156321
469,9,0,17,14,9,772,692,776723,16156038
470,6,2,10,13,11,9543,558,776723,16155810
471,1,5,20,19,16,19541,1202,776723,16155414
472,18,0,4,7,2,0,182,776723,16155275
473,1,4,32,17,16,13187,1070,776723,16154939
474,7,0,13,14,9,3656,668,776723,16154491
475,17,0,5,8,4,157,201,776723,16153920
476,13,0,11,10,7,1354,336,776723,16153682
477,13,0,8,10,6,846,355,776723,16153533
478,7,1,15,13,10,6653,661,776723,16153316
479,6,2,16,14,11,7939,776,776723,16153076
480,16,0,10,10,6,1025,330,776723,16140682
481,12,0,8,10,7,2521,375,776723,16140433
482,14,0,10,9,6,2123,291,776723,16140212
483,17,0,4,7,5,445,148,776723,16140084
484,1,4,35,17,15,13291,1234,776723,16139535
485,8,0,14,10,7,1371,343,776723,16139308
486,6,1,28,15,13,7188,777,776723,16138953
487,6,1,20,13,9,1545,669,776723,16129061
488,2,2,35,18,14,8339,1065,776723,16128776
489,13,1,4,9,6,2949,267,776723,16128670
490,15,1,1,9,7,5663,230,776723,16128571
491,11,0,15,11,8,3426,398,776723,16128382
492,14,0,10,10,7,2809,343,776723,16128210
493,17,0,8,9,6,1860,250,776723,16128085
494,18,0,3,9,6,2079,207,776723,16127946
495,2,4,26,19,17,19856,1206,776723,16114508
496,2,4,26,17,14,11730,905,776723,16114329
497,4,6,30,17,16,17536,908,776723,16114155
498,13,0,7,10,7,2803,328,776723,16114076
499,11,0,7,9,6,1515,382,776723,16113998
500,4,1,21,14,10,3548,776,776723,16113836
501,4,1,23,15,11,4567,849,776723,16113691
502,10,0,4,10,5,2019,404,776723,15459842
503,6,0,18,15,12,5803,892,2694220,17117366
504,8,1,18,15,11,5014,683,2694220,16771494
505,13,1,5,8,6,2648,236,2694220,16444983
506,14,1,2,8,7,3675,192,2694220,15933203
507,2,3,29,16,15,13312,1048,2694220,15626047
508,7,0,14,15,13,12616,763,2694220,15525003
509,1,5,39,18,19,20285,1120,2694220,15515017
510,9,0,11,13,11,9327,568,2694220,15473663
511,2,4,31,19,18,19373,1190,2694220,15455044
512,2,3,28,19,18,23478,1297,2694220,15454571
513,11,0,18,12,9,3722,476,2694220,15434483
514,15,0,3,10,5,1605,307,827846,16266104
515,11,1,13,11,8,3736,344,827846,16266009
516,13,0,8,10,6,1834,300,827846,16231639
517,9,2,9,12,10,8157,425,827846,16231395
518,12,0,9,11,7,1235,387,827846,16231170
519,7,0,12,13,9,7007,659,827846,15593620
520,10,1,9,13,11,7877,533,827846,15593425
521,18,0,3,8,5,1486,213,1075301,15717463
522,6,2,48,17,15,9021,1156,91376,17130056
523,7,1,43,15,13,2196,797,91376,17129946
524,2,2,48,18,15,9006,1023,91376,17127600
525,2,2,58,19,16,9262,1227,91376,17127240
526,2,2,40,18,15,9920,1229,91376,17126853
527,3,2,58,19,15,6431,1171,91376,17126413
528,3,4,49,17,16,11473,1098,91376,17115853
529,7,3,30,16,14,9010,991,91376,17115487
530,14,0,11,10,6,1133,376,91376,17115336
531,12,0,30,15,11,1607,637,91376,17115114
532,2,1,63,18,15,8897,1126,91376,17114708
533,2,1,65,17,15,2674,959,91376,17108025
534,4,2,53,17,13,2928,1002,91376,17107843
535,1,3,48,19,18,17783,1168,91376,17072334
536,4,2,15,16,12,9554,808,91376,17072052
