,gameRank,playerKill,monsterKill,useEmoticonCount,characterLevel,bestWeaponLevel,mmrGain,gameId,userNum,damageToPlayer,totalTime,craftLegend,damageFromPlayer,characterNum,,,
253,11,0,23,1,10,8,-17,16963766,824539,338,335,0,1527,12,,,
254,16,0,3,3,9,6,-25,16963624,824539,2441,233,1,1838,12,,,
255,4,9,17,2,16,17,35,16963347,824539,22485,758,3,5783,12,,,
256,14,0,11,1,10,8,-22,16963215,824539,2664,291,0,1920,17,,,
257,10,2,16,1,13,11,-9,16953107,824539,8583,535,1,6492,12,,,
258,17,1,3,1,7,5,-16,16952949,824539,1439,146,0,1498,12,,,
259,1,8,37,1,18,20,35,16952279,824539,30301,1100,4,9627,12,,,
260,11,2,12,1,11,10,-7,16952001,824539,9008,467,0,4696,12,,,
261,12,3,10,1,11,10,3,16951583,824539,6370,345,1,2992,12,,,
262,14,0,10,1,10,7,-20,16951325,824539,2041,276,1,2034,12,,,
263,11,0,14,1,11,8,-13,16951042,824539,3800,431,0,3560,17,,,
264,12,1,5,1,11,8,-12,16950750,824539,4691,417,1,5041,20,,,
265,6,1,25,1,15,15,-10,16950349,824539,15684,713,1,7559,17,,,
266,15,0,11,1,10,8,-23,16950113,824539,2627,361,0,4181,17,,,
267,1,6,35,1,19,19,38,16949531,824539,23993,1211,2,10646,17,,,
268,1,4,43,1,18,17,23,16946073,824539,15107,1005,1,5541,17,,,
269,15,0,5,1,8,6,-22,16945967,824539,2449,242,0,2449,12,,,
270,13,3,5,2,10,9,-10,16945854,824539,6733,329,1,3501,12,,,
271,12,1,21,1,12,11,-15,16945702,824539,8549,499,1,4454,12,,,
272,5,4,29,1,17,15,4,16945464,824539,10582,811,5,3873,12,,,
273,12,1,9,1,10,8,-16,16945340,824539,5040,301,0,3978,12,,,
274,1,7,41,1,18,19,35,16945092,824539,23469,999,3,8829,12,,,
275,5,4,48,2,18,18,13,16944830,824539,19530,1064,1,10823,17,,,
276,10,1,23,1,15,12,-11,16944655,824539,8083,682,1,4397,17,,,
277,2,5,41,1,18,17,15,16944397,824539,15807,1114,2,7412,12,,,
278,1,8,33,4,18,19,37,16944141,824539,28620,1151,2,12745,12,,,
279,2,4,35,1,18,18,10,16943913,824539,24396,1102,1,16423,17,,,
280,3,3,27,1,19,18,7,16943703,824539,25426,1084,1,13510,17,,,
281,3,4,37,1,19,18,14,16943517,824539,22422,1123,1,9909,17,,,
282,7,4,33,1,17,16,-1,16943355,824539,16383,888,2,5628,12,,,
283,10,4,12,1,13,12,-3,16943227,824539,10874,575,1,5760,12,,,
284,12,1,15,1,11,10,-16,16943136,824539,5674,318,0,4045,12,,,
285,3,4,31,1,19,19,10,16942964,824539,27904,1266,1,12561,12,,,
286,1,7,27,2,18,19,34,16938879,824539,33573,1110,2,15748,12,,,
287,14,0,2,2,9,6,-21,16938748,824539,2533,258,0,3230,12,,,
288,1,4,40,1,19,20,22,16938345,824539,29978,1128,3,9313,12,,,
289,11,2,24,2,14,11,-8,16938085,824539,6810,638,2,3578,12,,,
290,10,0,9,1,13,11,-12,16937811,824539,13039,628,0,8090,17,,,
291,8,3,23,2,16,14,1,16937489,824539,10962,742,0,6696,17,,,
292,3,9,15,2,17,19,29,16937042,824539,35742,984,0,22128,17,,,
293,10,2,18,2,12,12,-10,16936762,824539,11062,491,2,4793,12,,,
294,12,1,30,1,11,9,-16,16936502,824539,1875,361,0,1954,12,,,
295,4,5,27,1,18,17,8,16935986,824539,22388,1029,4,9587,12,,,
